date,avg_temp,avg_temp_high,temp_high,temp_high_date,avg_temp_low,temp_low,temp_low_date
14-Jan,1.1,7,13.7,2014-01-31,-4.1,-9.7,2014-01-14
14-Feb,3.6,9.3,19.3,2014-02-01,-1.2,-7.7,2014-02-05
14-Mar,8.3,14.3,25.9,2014-03-28,2.9,-5.3,2014-03-10
14-Apr,14,21,27.2,2014-04-25,8.3,0.4,2014-04-05
14-May,19.2,26.4,34.8,2014-05-31,12.6,5.4,2014-05-05
14-Jun,23,28.8,32.1,2014-06-27,18.4,14.6,2014-06-12
14-Jul,25.8,30.8,36,2014-07-31,22.1,18.9,2014-07-27
14-Aug,24.5,29.1,33,2014-08-01,21.4,17.1,2014-08-30
14-Sep,21.9,28,31.5,2014-09-06,16.9,13,2014-09-20
14-Oct,15.9,22.8,30,2014-10-10,10.1,3.3,2014-10-28
14-Nov,9.3,14.9,19,2014-11-06,4.7,-1.4,2014-11-19
14-Dec,0.2,4.9,10.7,2014-12-30,-3.9,-8.7,2014-12-18
15-Jan,1,5.9,13.2,2015-01-05,-3.2,-9,2015-01-03
15-Feb,2.5,7.7,13.3,2015-02-20,-1.8,-10.1,2015-02-09
15-Mar,7.2,14.3,23.4,2015-03-30,1,-5.7,2015-03-05
15-Apr,13.9,20.5,27.2,2015-04-27,8.5,2.7,2015-04-17
15-May,19.2,26.6,33.2,2015-05-28,12.5,4.9,2015-05-05
15-Jun,22.7,28.4,33.6,2015-06-10,18.2,12.7,2015-06-06
15-Jul,25.1,29.2,34.2,2015-07-30,21.9,17,2015-07-02
15-Aug,25.9,30.5,35.3,2015-08-07,22.1,19.3,2015-08-26
15-Sep,21.6,27.1,31.7,2015-09-28,16.8,13.7,2015-09-15
15-Oct,16.1,21.8,26.1,2015-10-07,11.4,2.1,2015-10-31
15-Nov,10.9,14.6,21.4,2015-11-06,7.8,-2.1,2015-11-27
15-Dec,4.4,8.2,14.1,2015-12-13,0.9,-4.8,2015-12-28
16-Jan,-0.2,3.4,14,2016-01-03,-3.4,-13,2016-01-24
16-Feb,2.5,7.2,21.9,2016-02-13,-1.8,-7.9,2016-02-02
16-Mar,7.6,13.9,22.9,2016-03-31,2.6,-6.1,2016-03-01
16-Apr,14.6,21.3,26.4,2016-04-25,9.7,5.2,2016-04-05
16-May,19.2,25.7,30.1,2016-05-18,13.6,9.6,2016-05-17
16-Jun,22.8,27.8,31.3,2016-06-18,19.1,15.7,2016-06-05
16-Jul,26.5,31,34.5,2016-07-29,23.2,20.4,2016-07-19
16-Aug,27.4,32.3,36.2,2016-08-20,23.5,16.2,2016-08-29
16-Sep,22.6,27.3,32.5,2016-09-01,19,13.9,2016-09-21
16-Oct,16.5,21.1,29.8,2016-10-04,12.8,3.3,2016-10-30
16-Nov,8.6,13.5,21.1,2016-11-06,4.2,-2.1,2016-11-29
16-Dec,3.8,8.5,16.9,2016-12-22,-0.4,-6.5,2016-12-30
17-Jan,0.8,5.6,13.7,2017-01-08,-3.4,-9.7,2017-01-15
17-Feb,1.9,7.3,15.7,2017-02-16,-2.6,-6.5,2017-02-02
17-Mar,6.5,12.8,19.3,2017-03-30,1.5,-3,2017-03-07
17-Apr,14,20.7,28.7,2017-04-16,8.5,1.6,2017-04-02
17-May,18.8,25.4,30.3,2017-05-29,13.1,9.7,2017-05-15
17-Jun,22.3,28,33,2017-06-23,17.6,11.5,2017-06-04
17-Jul,27.1,31,34.3,2017-07-21,24.3,21.6,2017-07-15
17-Aug,26.2,30.5,35.1,2017-08-05,22.6,16.3,2017-08-31
17-Sep,21.4,26.7,30.7,2017-09-26,16.9,10.9,2017-09-30
17-Oct,16,21.4,28,2017-10-10,11.7,2.4,2017-10-31
17-Nov,7.5,12.9,22.1,2017-11-07,2.7,-3.1,2017-11-19
17-Dec,1,5.3,14.1,2017-12-03,-3,-9.4,2017-12-14
18-Jan,-1.5,2.8,10.1,2018-01-22,-5.2,-15,2018-01-27
18-Feb,0.4,6.2,14.7,2018-02-27,-4.3,-11.6,2018-02-07
18-Mar,9,15.3,24.6,2018-03-14,3.7,-4.8,2018-03-02
18-Apr,14,20.3,28.4,2018-04-20,8.7,0,2018-04-08
