Name,Price,Category,broker,Competition Rate,Offering_period,Listing Date
코스닥미래에셋비전스팩6호,"2,000",업종기타 금융업,주관사미래에셋증권,607.36:1,24.06.13~06.14,24.06.24
코스닥에이치엠씨아이비제7호기업인수목적,"2,000",업종금융 지원 서비스업,주관사현대차증권,102.63:1,24.06.11~06.12,24.06.24
코스닥한중엔시에스,"30,000","업종전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",주관사IBK투자증권,"1,000.82:1",24.06.10~06.11,24.06.24
코스닥에스오에스랩,"11,500","업종측정, 시험, 항해, 제어 및 기타 정밀기기 제조업 광학기기 제외",주관사한국투자증권,"2,162.65:1",24.06.14~06.17,24.06.25
코스닥한국제15호스팩,"2,000",업종금융 지원 서비스업,주관사한국투자증권,736.67:1,24.06.17~06.18,24.06.26
코스닥하이젠알앤엠,"7,000","업종전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",주관사한국투자증권,"2,549.13:1",24.06.18~06.19,24.06.27
코스닥에이치브이엠,"18,000","업종기타 비철금속 제련, 정련 및 합금 제조업",주관사NH투자증권,960.35:1,24.06.19~06.20,24.06.28
코스피신한글로벌액티브리츠,"3,000",업종신탁업 및 집합투자업,"주관사신한투자증권, 한국투자증권",120.37:1,24.06.13~06.14,24.07.01
코스닥이노스페이스,"43,300","업종항공기,우주선 및 부품 제조업",주관사미래에셋증권,미정,24.06.20~06.21,24.07.02
코스닥하스,"16,000",업종의료용품 및 기타 의약 관련제품 제조업,주관사삼성증권,미정,24.06.24~06.25,24.07.03
코스피시프트업,"47,000~60,000",업종소프트웨어 개발 및 공급업,"주관사한국투자증권,NH투자증권,제이피모간증권",미정,24.07.02~07.03,24.07.11
코스닥이베스트스팩6호,"2,000",업종금융 지원 서비스업,주관사이베스트투자증권,미정,24.07.02~07.03,미정
코스닥엑셀세라퓨틱스,"6,200~7,700",업종의약품 제조업,주관사대신증권,미정,24.07.03~07.04,미정
코스닥키움제9호스팩,"2,000",업종금융 지원 서비스업,주관사키움증권,미정,24.07.05~07.08,미정
코스닥피앤에스미캐닉스,"14,000~17,000",업종의료용 기기 제조업,주관사키움증권,미정,24.07.08~07.09,미정
코스닥넥스트바이오메디컬,"24,000~29,000",업종의료용 기기 제조업,주관사한국투자증권,미정,24.07.10~07.11,미정
코스닥에스케이증권제13호스팩,"2,000",업종기타 금융업,주관사SK증권,미정,24.07.15~07.16,미정
코스닥엔에이치스팩31호,"2,000",업종금융 지원 서비스업,주관사NH투자증권,미정,24.07.16~07.17,미정
코스닥뱅크웨어글로벌,"16,000~19,000","업종컴퓨터 프로그래밍, 시스템 통합 및 관리업",주관사미래에셋증권,미정,24.07.17~07.18,미정
코스피산일전기,"24,000~30,000","업종전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",주관사미래에셋증권,미정,24.07.18~07.19,미정
코스닥티디에스팜,"9,500~10,700",업종의약품 제조업,주관사한국투자증권,미정,24.07.22~07.23,미정
코스닥아이빔테크놀로지,"7,300~8,500",업종사진장비 및 광학기기 제조업,주관사삼성증권,미정,24.07.25~07.26,미정
코스닥교보16호스팩,미정,업종기타 금융업,주관사교보증권,미정,미정,미정
코스닥대신밸런스제18호스팩,미정,업종금융 지원 서비스업,주관사대신증권,미정,미정,미정
코스닥에이치이엠파마,미정,업종자연과학 및 공학 연구개발업,주관사신한투자증권,미정,미정,미정
코스닥이엔셀,"13,600~15,300",업종기초 의약물질 및 생물학적 제제 제조업,주관사NH투자증권,미정,미정,미정
코스피전진건설로봇,미정,업종자동차 차체 및 트레일러 제조업,주관사미래에셋증권,미정,미정,미정
코스닥케이쓰리아이,미정,업종소프트웨어 개발 및 공급업,주관사하나증권,미정,미정,미정
코스닥넥셀,미정,업종자연과학 및 공학 연구개발업,주관사NH투자증권,미정,미정,미정
코스닥노머스,미정,업종창작 및 예술관련 서비스업,주관사대신증권,미정,미정,미정
코스닥다원메닥스,미정,업종의료용 기기 제조업,"주관사NH투자증권, DB금융투자",미정,미정,미정
코스닥닷밀,미정,업종전문디자인업,주관사미래에셋증권,미정,미정,미정
코스닥대신밸런스제19호기업인수목적,미정,업종금융 지원 서비스업,주관사대신증권,미정,미정,미정
코스피더본코리아,미정,업종상품 종합 도매업,"주관사한국투자증권, NH투자증권",미정,미정,미정
코스닥데이원컴퍼니,미정,업종기타 교육기관,"주관사미래에셋증권, 삼성증권",미정,미정,미정
